City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
303,Shnogh,AM,41.1469,44.8404,60.8,63,0,4.61,clear sky
304,De Aar,ZA,-30.6497,24.0123,64.98,18,0,4.9,clear sky
305,College,US,64.8569,-147.8028,39.2,56,1,2.51,clear sky
306,Galesong,ID,-5.3166,119.3661,73.4,100,20,2.3,few clouds
307,Lasa,IT,46.6166,10.7002,53.6,48,0,6.91,clear sky
308,Broken Hill,AU,-31.95,141.4333,48.2,57,0,3.44,clear sky
309,Aswan,EG,24.0934,32.907,86.31,13,0,9.42,clear sky
310,Odienne,CI,9.51,-7.5692,78.22,64,100,4.45,overcast clouds
311,Meulaboh,ID,4.1363,96.1285,77.34,86,79,3.44,broken clouds
312,Ternate,ID,0.8,127.4,80.82,81,100,8.12,overcast clouds
313,Vila Franca Do Campo,PT,37.7167,-25.4333,64.4,94,75,10.36,broken clouds
314,Jiwani,PK,25.05,61.7417,81.73,68,1,7.05,clear sky
315,Barcelona,ES,41.3888,2.159,53.6,58,20,5.75,few clouds
316,Nynashamn,SE,58.9034,17.9479,50,34,100,6.91,overcast clouds
317,Port-Gentil,GA,-0.7193,8.7815,84.2,84,20,9.22,few clouds
318,Hit,IQ,33.6416,42.8251,79.7,17,0,2.53,clear sky
319,Panaba,MX,21.2833,-88.2667,100.13,26,1,14.56,clear sky
320,Eslamshahr,IR,35.5605,51.2346,68,24,0,4.61,clear sky
321,Lahaina,US,20.8783,-156.6825,75.2,83,40,8.05,scattered clouds
322,Umm Lajj,SA,25.0213,37.2685,81.55,55,0,8.48,clear sky
323,Cidreira,BR,-30.1811,-50.2056,73.44,78,100,10.94,moderate rain
324,Moerai,PF,-22.4333,-151.3333,78.82,74,15,5.23,few clouds
325,Margate,GB,51.3813,1.3862,44.01,65,100,3,overcast clouds
326,Diamantino,BR,-14.4086,-56.4461,88.43,52,32,0.45,moderate rain
327,Ust-Tsilma,RU,65.441,52.1498,23.23,79,100,10.94,overcast clouds
328,Eureka,US,40.8021,-124.1637,55.4,93,90,6.91,mist
329,Soe,ID,-9.8607,124.284,64.53,88,98,2.91,overcast clouds
330,Wendo,ET,6.6,38.4167,60.22,87,100,6.02,overcast clouds
331,Gamba,GA,-2.65,10,79.52,88,94,6.62,overcast clouds
332,Lavrentiya,RU,65.5833,-171,31.08,90,100,12.21,overcast clouds
333,Ures,MX,29.4333,-110.4,84.99,17,0,5.99,clear sky
334,Kosino,RU,58.4127,51.2782,38.57,80,8,4.68,clear sky
335,Paamiut,GL,61.994,-49.6678,20.66,60,11,13.06,few clouds
336,Solano,US,38.2333,-121.9511,80.6,12,1,23.02,clear sky
337,Deputatskiy,RU,69.3,139.9,6.44,94,100,3.38,overcast clouds
338,Koslan,RU,63.4564,48.8989,32.9,72,99,10.94,overcast clouds
339,Kavaratti,IN,10.5669,72.642,84.36,69,7,6.85,clear sky
340,Laguna,US,38.421,-121.4238,81,12,1,10.36,clear sky
341,Naberera,TZ,-4.2,36.9333,61.92,92,9,9.24,clear sky
342,Bukama,CD,-9.2,25.85,70.11,90,99,3.42,overcast clouds
343,Kaohsiung,TW,22.6163,120.3133,78.8,73,75,8.05,broken clouds
344,Coihueco,CL,-36.6167,-71.8333,69.8,56,94,5.75,overcast clouds
345,Ahipara,NZ,-35.1667,173.1667,59.92,58,96,6.93,overcast clouds
346,Ngunguru,NZ,-35.6167,174.5,53.01,94,48,4,scattered clouds
347,Te Anau,NZ,-45.4167,167.7167,50.05,93,100,6.91,overcast clouds
348,Kahului,US,20.8947,-156.47,75.2,83,40,8.05,scattered clouds
349,Ous,RU,60.9058,61.5186,38.93,82,100,15.32,overcast clouds
