City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
177,West Wendover,US,2021-04-08 19:50:31,40.7391,-114.0733,64.4,16,1,17.27
178,Gamba,GA,2021-04-08 19:50:31,-2.65,10.0,80.2,87,100,5.19
179,Moses Lake,US,2021-04-08 19:50:32,47.1301,-119.2781,57.2,21,1,17.27
180,Half Moon Bay,US,2021-04-08 19:50:32,37.4636,-122.4286,64.0,71,20,12.66
181,Shillong,IN,2021-04-08 19:50:33,25.5689,91.8831,69.8,78,75,4.21
182,Sokoto,NG,2021-04-08 19:50:33,13.0609,5.239,92.95,8,12,8.75
183,El Cope,PA,2021-04-08 19:50:33,8.6167,-80.6,82.4,78,75,5.75
184,Portales,US,2021-04-08 19:50:34,34.1862,-103.3344,78.01,7,1,16.11
185,Codrington,AU,2021-04-08 19:50:34,-38.2667,141.9667,55.78,70,100,14.34
186,Bud,US,2021-04-08 19:50:35,39.447,-86.1758,64.99,88,90,13.8
187,Panguna,PG,2021-04-08 19:50:35,-6.3164,155.4848,67.93,96,100,1.21
188,Trairi,BR,2021-04-08 19:48:12,-3.2778,-39.2689,81.25,78,73,11.72
189,Makakilo City,US,2021-04-08 19:50:36,21.3469,-158.0858,75.2,50,1,10.36
190,Debre Tabor,ET,2021-04-08 19:50:36,11.85,38.0167,64.54,20,11,4.5
191,Kaduna,NG,2021-04-08 19:50:36,10.5222,7.4383,87.21,11,42,7.2
192,Hithadhoo,MV,2021-04-08 19:50:37,-0.6,73.0833,82.83,68,13,14.79
193,Aban,RU,2021-04-08 19:50:37,56.67,96.06,28.38,94,98,2.64
194,Faanui,PF,2021-04-08 19:50:38,-16.4833,-151.75,81.81,69,23,11.54
195,Ceres,US,2021-04-08 19:50:38,37.5949,-120.9577,69.01,45,1,11.5
196,Padang,ID,2021-04-08 19:50:38,-0.9492,100.3543,77.0,94,90,2.3
197,Ostrovnoy,RU,2021-04-08 19:50:39,68.0531,39.5131,33.78,98,100,8.75
198,Provideniya,RU,2021-04-08 19:50:39,64.3833,-173.3,-2.2,71,20,4.03
199,Nemuro,JP,2021-04-08 19:50:40,43.3236,145.575,30.97,61,1,11.68
200,Upernavik,GL,2021-04-08 19:47:15,72.7868,-56.1549,25.36,66,100,7.2
201,Meulaboh,ID,2021-04-08 19:50:40,4.1363,96.1285,76.66,89,96,4.52
202,Zemio,CF,2021-04-08 19:50:41,5.0314,25.1361,75.22,69,100,4.16
203,Ust-Koksa,RU,2021-04-08 19:50:41,50.2696,85.6108,32.32,93,85,1.03
204,Guerrero Negro,MX,2021-04-08 19:50:42,27.9769,-114.0611,76.03,46,0,19.22
205,Bubaque,GW,2021-04-08 19:50:42,11.2833,-15.8333,77.04,74,11,20.18
206,San Cristobal,VE,2021-04-08 19:46:05,7.7669,-72.225,89.6,55,40,16.11
207,Yabassi,CM,2021-04-08 19:50:43,4.457,9.9682,82.4,89,75,3.44
208,Pemangkat,ID,2021-04-08 19:50:43,1.1667,108.9667,77.47,85,93,5.19
209,Pathein,MM,2021-04-08 19:50:44,16.7833,94.7333,77.45,79,0,6.46
210,Mtimbira,TZ,2021-04-08 19:50:44,-8.7833,36.35,70.77,86,68,2.8
211,Shingu,JP,2021-04-08 19:50:45,33.7333,135.9833,48.16,80,28,6.02
212,Korla,CN,2021-04-08 19:50:45,41.7597,86.1469,54.01,48,95,8.32
213,Tasiilaq,GL,2021-04-08 19:50:46,65.6145,-37.6368,24.8,54,20,5.26
214,Bay-Khaak,RU,2021-04-08 19:50:46,51.1667,94.5,34.03,74,36,2.19
215,Tautira,PF,2021-04-08 19:50:46,-17.7333,-149.15,84.2,65,75,3.44
216,Port Augusta,AU,2021-04-08 19:50:47,-32.5,137.7667,68.0,73,40,14.97
217,Namatanai,PG,2021-04-08 19:50:47,-3.6667,152.4333,75.99,91,100,7.34
218,Charleston,US,2021-04-08 19:48:15,32.7766,-79.9309,82.4,57,1,9.22
219,Mercedes,AR,2021-04-08 19:46:22,-34.6515,-59.4307,68.0,66,88,4.0
220,Kutulik,RU,2021-04-08 19:50:48,53.3508,102.7839,31.91,92,100,3.8
221,Erzin,TR,2021-04-08 19:50:48,36.9559,36.2,63.0,85,95,2.37
222,Waconia,US,2021-04-08 19:50:49,44.8508,-93.7869,63.0,94,90,3.44
223,Kalmunai,LK,2021-04-08 19:50:49,7.4167,81.8167,77.72,80,28,5.12
224,Dunhua,CN,2021-04-08 19:50:49,43.3725,128.2425,25.66,41,0,2.91
225,Borogontsy,RU,2021-04-08 19:50:50,62.6683,131.1683,20.71,94,100,10.69
226,Longyearbyen,SJ,2021-04-08 19:50:50,78.2186,15.6401,26.6,68,20,12.66
227,Oistins,BB,2021-04-08 19:50:51,13.0667,-59.5333,86.0,54,40,12.66
228,Samarai,PG,2021-04-08 19:47:29,-10.6167,150.6667,79.92,82,99,12.08
229,Monrovia,LR,2021-04-08 19:50:51,6.3005,-10.7969,82.4,89,20,4.61
230,Nisia Floresta,BR,2021-04-08 19:50:51,-6.0911,-35.2086,86.0,62,20,19.57
231,Roma,US,2021-04-08 19:49:40,43.2128,-75.4557,75.2,33,1,8.05
232,Rudbar,AF,2021-04-08 19:50:52,30.15,62.6,72.84,14,30,0.63
233,Mayo,US,2021-04-08 19:50:53,38.8876,-76.5119,70.0,48,1,9.22
234,Tomatlan,MX,2021-04-08 19:50:53,19.9333,-105.25,89.04,34,23,10.09
235,Fortuna,US,2021-04-08 19:50:32,40.5982,-124.1573,57.0,62,1,16.11
236,Auki,SB,2021-04-08 19:48:14,-8.7676,160.7034,76.1,86,100,5.53
237,Seymchan,RU,2021-04-08 19:50:54,62.8833,152.4333,-11.43,99,100,0.47
238,Georgetown,MY,2021-04-08 19:50:24,5.4112,100.3354,80.6,94,20,7.25
239,Airai,TL,2021-04-08 19:50:54,-8.9266,125.4092,58.48,92,79,1.83
240,Coihaique,CL,2021-04-08 19:50:55,-45.5752,-72.0662,53.6,71,90,4.61
241,Vorobyevka,RU,2021-04-08 19:50:55,50.6451,40.9245,42.42,57,100,1.48
242,Mier,MX,2021-04-08 19:50:56,26.4333,-99.15,98.6,23,1,10.36
243,Baruun-Urt,MN,2021-04-08 19:50:56,46.6806,113.2792,40.12,28,70,6.49
244,Aktau,KZ,2021-04-08 19:50:56,43.65,51.2,55.4,47,0,13.42
245,Teguldet,RU,2021-04-08 19:50:57,57.3064,88.1667,27.66,99,72,3.6
246,San Patricio,US,2021-04-08 19:50:57,28.017,-97.5169,95.0,31,1,12.66
247,Bengkulu,ID,2021-04-08 19:50:58,-3.8004,102.2655,75.88,88,68,4.68
248,Saint George,US,2021-04-08 19:50:58,37.1041,-113.5841,80.01,13,1,12.66
249,Kutum,SD,2021-04-08 19:50:58,14.2,24.6667,79.03,5,100,12.37
250,Anahuac,MX,2021-04-08 19:50:59,27.2333,-100.15,96.8,24,1,8.05
251,Axim,GH,2021-04-08 19:50:59,4.8699,-2.2405,81.59,86,91,6.64
252,Christchurch,NZ,2021-04-08 19:48:33,-43.5333,172.6333,53.6,94,90,3.44
253,Beringovskiy,RU,2021-04-08 19:51:00,63.05,179.3167,-6.88,96,46,2.84
254,Yabrud,SY,2021-04-08 19:51:00,33.9674,36.6574,62.6,48,0,16.11
255,Adre,TD,2021-04-08 19:51:01,13.4667,22.2,83.89,8,100,10.56
256,Tubmanburg,LR,2021-04-08 19:51:01,6.8708,-10.8172,78.48,85,26,4.59
257,Gazanjyk,TM,2021-04-08 19:51:01,39.2446,55.5154,74.26,26,0,8.23
258,Conde,BR,2021-04-08 19:51:02,-7.2597,-34.9075,84.2,70,40,14.97
259,Lebu,CL,2021-04-08 19:51:02,-37.6167,-73.65,59.65,69,3,7.74
260,Port Keats,AU,2021-04-08 19:51:02,-14.25,129.55,80.82,81,25,6.33
261,Umm Lajj,SA,2021-04-08 19:51:03,25.0213,37.2685,77.61,46,2,6.58
262,Novaya Ladoga,RU,2021-04-08 19:51:03,60.1025,32.3019,32.0,26,68,9.66
263,Coello,CO,2021-04-08 19:51:04,4.2891,-74.8982,89.11,54,79,3.74
264,Puteyets,RU,2021-04-08 19:51:04,65.1716,57.091,39.36,82,82,18.61
265,Ituiutaba,BR,2021-04-08 19:51:04,-18.9689,-49.465,83.98,41,99,9.57
266,Beloha,MG,2021-04-08 19:51:05,-25.1667,45.05,71.64,87,11,11.77
267,Chauk,MM,2021-04-08 19:50:07,20.8833,94.8167,82.36,55,0,7.63
268,Nome,US,2021-04-08 19:51:05,64.5011,-165.4064,-4.0,54,1,14.97
269,Vardo,NO,2021-04-08 19:48:16,70.3705,31.1107,32.0,80,40,12.66
270,Soyo,AO,2021-04-08 19:51:06,-6.1349,12.3689,81.34,82,100,5.39
271,Muros,ES,2021-04-08 19:48:22,42.7762,-9.0603,57.0,83,23,5.01
272,Westport,US,2021-04-08 19:46:24,41.1415,-73.3579,66.99,51,1,9.22
273,Teluk Intan,MY,2021-04-08 19:51:06,4.0259,101.0213,80.01,94,40,1.7
274,Severo-Kurilsk,RU,2021-04-08 19:51:07,50.6789,156.125,32.05,80,100,39.77
275,Kruisfontein,ZA,2021-04-08 19:51:07,-34.0033,24.7314,62.01,92,7,1.01
276,Soyalo,MX,2021-04-08 19:51:08,16.9,-92.9167,93.2,29,40,12.66
277,Coolum Beach,AU,2021-04-08 19:51:09,-26.5333,153.1,64.0,98,5,3.31
